QC1-1-129a      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129b      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129c      Kodeverdi for EE utenfor tillatt omraade
QC1-2-93	Ikke samsvar mellom skydekke og værkode (tåke uten skimt av himmel)
QC1-2-94	Ikke samsvar mellom skydekke og værkode
QC1-2-95	Ikke samsvar mellom mengde av lave skyer og værkode
QC1-2-96	Ikke samsvar mellom værkode og skytype
QC1-2-97	Ikke samsvar mellom værkode og skytype
QC1-2-99	Ikke samsvar mellom ww og ix (Synop-koden, ix=1-2)
QC1-2-100	Ikke samsvar mellom værsymboler og synsvidde/værkode
QC1-2-101	Ikke samsvar mellom synsvidde og værkode
QC1-2-102	Ikke samsvar mellom synsvidde og værkode
QC1-2-103	Ikke samsvar mellom synsvidde og værkode
QC1-2-104	Ikke samsvar mellom synsvidde og værkode
QC1-2-105	Ikke samsvar mellom synsvidde og værkode
QC1-2-106	Ikke samsvar mellom skydekke og værkode
QC1-2-107	Ikke samsvar mellom værkode og temperatur (TA>4°C)
QC1-2-108	Ikke samsvar mellom værkode og temperatur (TA>7°C)
QC1-2-109	Ikke samsvar mellom værkode og temperatur (TA>-2°C)
QC1-2-110	Snøfokk (sandfokk) og FF<12.5 m/s
QC1-2-121	NN mindre enn NH
QC1-2-122.aa	NN mindre enn NS (NS1)
QC1-2-122.ab	NN mindre enn NS (NS2)
QC1-2-122.ac	NN mindre enn NS (NS3)
QC1-2-122.ad	NN mindre enn NS (NS4)
QC1-2-123.a	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-123.b	Ikke samsvar mellom mengde av lave skyer og høyde opp til de laveste skyene
QC1-2-123.c	Ikke samsvar mellom skyer og skyhøyde
QC1-2-124.a	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-125.a	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-126.b	Ikke samsvar mellom skymengde og skyer
QC1-2-126.c	NN=0 og forskjellig fra NH
QC1-2-127	Ikke samsvar mellom total skymengde og skyer
QC1-2-128.1	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-128.8	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-128.11	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-128.308	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-128.312	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-129.b	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-130	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-131	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-132	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-133	Ikke samsvar mellom mengde av lave skyer og skyer
QC1-2-134	Ikke samsvar mellom skymengde og skyer
QC1-2-135	Ikke samsvar mellom skymengde og skyhøyde
QC1-2-136	Ikke samsvar mellom skymengde og skyhøyde
QC1-2-137	Ikke samsvar mellom total skymengde og mengde av lave skyer
QC1-2-138.a	Ikke samsvar mellom total skymengde og mengde av C-skyer (NS1)
QC1-2-138.b	Ikke samsvar mellom total skymengde og mengde av C-skyer (NS2)
QC1-2-138.c	Ikke samsvar mellom total skymengde og mengde av C-skyer (NS3)
QC1-2-138.d	Ikke samsvar mellom total skymengde og mengde av C-skyer (NS4)
QC1-2-139.a	Ikke samsvar mellom skyer og skymengde
QC1-2-139.b	Ikke samsvar mellom skyer og skymengde
QC1-2-142	Ikke samsvar mellom skyangivelser
QC1-2-143	Ikke samsvar mellom skyangivelser
QC1-2-144	Ikke samsvar mellom skyangivelser
QC1-2-145	Ikke samsvar mellom skyangivelser
QC1-2-146.a	Ikke samsvar mellom lave skyer og hovedtype av skyer
QC1-2-146.b	Foreløpig ikke dokumentert
QC1-2-146.c	Foreløpig ikke dokumentert
QC1-2-146.d	Foreløpig ikke dokumentert
QC1-2-147_148.a	Ikke samsvar mellom lave skyer og hovedtype av skyer (CC1)
QC1-2-147_148.b	Ikke samsvar mellom lave skyer og hovedtype av skyer (CC2)
QC1-2-147_148.c	Ikke samsvar mellom lave skyer og hovedtype av skyer (CC3)
QC1-2-147_148.d	Ikke samsvar mellom lave skyer og hovedtype av skyer (CC4)
QC1-2-149.a	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC1)
QC1-2-149.b	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC2)
QC1-2-149.c	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC3)
QC1-2-149.d	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC4)
QC1-2-150.a	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC1)
QC1-2-150.b	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC2)
QC1-2-150.c	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC3)
QC1-2-150.d	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC4)
QC1-2-151.a	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC1)
QC1-2-151.b	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC2)
QC1-2-151.c	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC3)
QC1-2-151.d	Ikke samsvar mellom mellomhøye skyer og hovedtype av skyer (CC4)
QC1-2-152	Ikke samsvar mellom skyangivelser
QC1-2-153	Ikke samsvar mellom skyangivelser
QC1-2-154	Ikke samsvar mellom skyangivelser
QC1-2-155	Ikke samsvar mellom skymengde og skyer
QC1-2-156.a	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-156.b	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-156.c	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-156.d	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-157.a	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-157.b	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-157.c	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-157.d	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-158.a	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-158.b	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-158.c	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-158.d	Ikke samsvar mellom hovedtype av skyer og skymengde
QC1-2-159.a	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-159.b	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-159.c	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-159.d	Ikke samsvar mellom hovedtype av skyer og skytype
